ID,Section,top_m,bottom_m,top_ft,bottom_ft,lith,name,img_path,IGSN
G5,2,3301.27,3302.15,10830.94,10833.83,Sheared silstone and mudstone -> Silstone & sandstone,Hole G Run 5 Section 2,images/Hole G/G52.jpg,10.60471/ODP00002S
G5,3,3302.15,3303.04,10833.83,10836.75,Silstone & sandstone,Hole G Run 5 Section 3,images/Hole G/G53.jpg,10.60471/ODP00002T
G5,4,3303.04,3303.93,10836.75,10839.67,Silstone & sandstone -> sheared/fractured siltstone,Hole G Run 5 Section 4,images/Hole G/G54.jpg,10.60471/ODP00002U
G5,5,3303.93,3304.82,10839.67,10842.59,sheared/fractured siltstone,Hole G Run 5 Section 5,images/Hole G/G55.jpg,10.60471/ODP00002V
G5,6,3304.8,3305.45,10842.52,10844.65,sheared/fractured siltstone,Hole G Run 5 Section 6,images/Hole G/G56.jpg,10.60471/ODP00002W
G5,7,3305.46,3305.93,10844.69,10846.23,sheared/fractured siltstone,Hole G Run 5 Section 7,images/Hole G/G57.jpg,10.60471/ODP00002X
G6,1,3307.4,3308.27,10851.05,10853.9,"sheared/fractured claystone, mudstone, & siltstone",Hole G Run 6 Section 1,images/Hole G/G61.jpg,10.60471/ODP00002Y
G6,2,3308.27,3309.16,10853.9,10856.82,"sheared/fractured claystone, mudstone, & siltstone",Hole G Run 6 Section 2,images/Hole G/G62.jpg,10.60471/ODP00002Z
G6,3,3309.16,3310.03,10856.82,10859.68,"sheared/fractured claystone, mudstone, & siltstone",Hole G Run 6 Section 3,images/Hole G/G63.jpg,10.60471/ODP00003A
G6,4,3310.03,3310.89,10859.68,10862.5,"sheared/fractured claystone, mudstone, & siltstone",Hole G Run 6 Section 4,images/Hole G/G64.jpg,10.60471/ODP00003B
G6,5,3310.89,3311.78,10862.5,10865.42,sheared claystone/mudstone gouge,Hole G Run 6 Section 5,images/Hole G/G65.jpg,10.60471/ODP00003C
G6,6,3311.78,3312.7,10865.42,10868.44,sheared claystone/mudstone gouge,Hole G Run 6 Section 6,images/Hole G/G66.jpg,10.60471/ODP00003D
